PUBLISHER|NAME|KEY|COVER|DEMOGRAPHY|FORMAT|FREQUENCY|STATUS|TOTAL_ISSUES|RELEASE_DATE
6011f57b30b6b30b0354d54b|Ultramarine Magmell|ultramarine-magmell|-|Shōnen|Tankōbon|bimonthly|completed|8|2019-11-27
6011f57b30b6b30b0354d54b|Gyo|gyo|-|Seinen|Tankōbon|bimonthly|completed|2|2018-09-26
6011f57b30b6b30b0354d54b|Hell's Paradise|hells-paradise|-|Shōnen|Tankōbon|bimonthly|publishing|13|2021-06-16
6011f57b30b6b30b0354d54b|Hideout|hideout|-|Seinen|Tankōbon|one-shot|completed|1|2021-12-01
6011f57b30b6b30b0354d54b|High School DxD|high-school-dxd|-|Shōnen|Tankōbon|monthly|completed|11|2015-10-12
6011f57b30b6b30b0354d54b|Highschool Of The Dead|highschool-of-the-dead|-|Seinen|Tankōbon|monthly|completed|7|2014-03-14
6011f57b30b6b30b0354d54b|Highschool Of The Dead [Full Color Edition]|highschool-of-the-dead-full-color|-|Seinen|Tankōbon|monthly|completed|7|2015-09-16
6011f57b30b6b30b0354d54b|Highschool Of The Head|highschool-of-the-head|-|Shōnen|Tankōbon|one-shot|completed|1|2015-09-16
6011f57b30b6b30b0354d54b|Home, Sweet Home!|home-sweet-home|-|Seinen|Tankōbon|bimonthly|completed|4|2018-08-15
6011f57b30b6b30b0354d54b|Hunter x Hunter|hunter-x-hunter|-|Shōnen|Tankōbon|monthly|publishing|36|2018-01-17
6011f57b30b6b30b0354d54b|I Am a Hero|i-am-a-hero|-|Seinen|Tankōbon|monthly|completed|22|2015-01-21
6011f57b30b6b30b0354d54b|Inazuma Eleven (Super Once)|inazuma-eleven|-|Shōnen|Tankōbon|bimonthly|completed|10|2018-06-20
6011f57b30b6b30b0354d54b|InuYasha [Wideban]|inuyasha|-|Shōnen|Wide-ban|monthly|completed|30|2018-09-15
6011f57b30b6b30b0354d54b|Inuyashiki|inuyashiki|-|Seinen|Tankōbon|bimonthly|completed|10|2018-12-19
6011f57b30b6b30b0354d54b|Isla de Perros|isla-de-perros|-|Seinen|Tankōbon|one-shot|completed|1|2019-12-25
6011f57b30b6b30b0354d54b|Jaco: El patrullero galáctico|jaco|-|Shōnen|Tankōbon|one-shot|completed|1|2020-12-02
6011f57b30b6b30b0354d54b|Jagaaan (Jagaaaaaan)|jagaaan|-|Seinen|Tankōbon|bimonthly|publishing|14|2019-10-09
