PUBLISHER|TITLE|NAME|KEY|COVER|DEMOGRAPHY|FORMAT|TYPE|FREQUENCY|STATUS|TOTAL_ISSUES|RELEASE_DATE|GENRES|AUTHORS|WHAKOOM URL|PUBLISHER URL
6313cd63e79ac634c6e80cca|637acaa6a9208d5cf27ce03e|One Piece|one-piece|-|Shōnen|Tankōbon|manga|monthly|ongoing|101|2015-02-25|Adventure, Fantasy|Author: Eiichiro Oda|/ediciones/379279/one_piece-rustica/todos|/catalogsearch/result/index/?price=99-159&product_list_order=name&q=one+piece
6313cd63e79ac634c6e80cca|637acaa6a9208d5cf27ce03f|One Piece BLUE|one-piece-blue|-|Guide|Tankōbon|manga|one-shot|completed|1|2021-01-20|Guide|Author: Eiichiro Oda|-|-
6313cd63e79ac634c6e80cca|637acaa6a9208d5cf27ce040|One Piece BLUE DEEP|one-piece-blue-deep|-|Guide|Tankōbon|manga|one-shot|completed|1|2022-04-06|Guide|Author: Eiichiro Oda|-|-
6313cd63e79ac634c6e80cca|637acaa6a9208d5cf27ce041|One Piece GREEN|one-piece-green|-|Guide|Tankōbon|manga|one-shot|completed|1|2021-10-13|Guide|Author: Eiichiro Oda|-|-
6313cd63e79ac634c6e80cca|637acaa6a9208d5cf27ce042|One Piece RED|one-piece-red|-|Guide|Tankōbon|manga|one-shot|completed|1|2020-09-23|Guide|Author: Eiichiro Oda|-|-
6313cd63e79ac634c6e80cca|637acaa6a9208d5cf27ce043|One Piece YELLOW|one-piece-yellow|-|Guide|Tankōbon|manga|one-shot|completed|1|2021-06-16|Guide|Author: Eiichiro Oda|-|-
6313cd63e79ac634c6e80cca|637acaa6a9208d5cf27ce044|One Piece WANTED|one-piece-wanted|-|Shōnen|Tankōbon|manga|one-shot|completed|1|2021-09-08|Guide|Author: Eiichiro Oda|-|-
6313cd63e79ac634c6e80cca|637acaa6a9208d5cf27ce045|One-Punch Man|one-punch-man|-|Seinen|Tankōbon|manga|monthly|ongoing|24|2016-06-01|Action, Comedy, Superhero|Author: One|/ediciones/400624/one-punch_man-rustica_con_solapassobrecubierta/todos|/catalogsearch/result/index/?q=One+punch+man&product_list_order=name
6313cd63e79ac634c6e80cca|637acaa6a9208d5cf27ce046|One Week Friends|one-week-friends|-|Shōnen|Tankōbon|manga|monthly|completed|7|2016-10-26|Romance|Author: Matcha Hazuki|/ediciones/406319/one_week_friends-rustica/todos|-
6313cd63e79ac634c6e80cca|637acaa6a9208d5cf27ce047|Orange|orange|-|Shōjo|Tankōbon|manga|bimonthly|completed|6|2017-03-09|Romance, Slice of Life|Author: Ichigo Takano|/ediciones/410232/orange-rustica/todos|-
6313cd63e79ac634c6e80cca|637acaa6a9208d5cf27ce048|Ore Monogatari!!|ore-monogatari|-|Shōjo|Tankōbon|manga|bimonthly|completed|13|2017-09-06|Romantic Comedy|Writer: Kazune Kawahara; Illustrator: Aruko|/ediciones/487239/ore_monogatari-rustica/todos|-
6313cd63e79ac634c6e80cca|637acaa6a9208d5cf27ce049|Origin|origin|-|Seinen|Tankōbon|manga|bimonthly|completed|10|2020-01-22|Action, Sci-Fi|Author: Boichi|/ediciones/567963/origin-rustica_con_sobrecubierta/todos|-
6313cd63e79ac634c6e80cca|637acaa6a9208d5cf27ce04a|Ouran High-School Host Club|ouran-high-school-host-club|-|Shōjo|Tankōbon|manga|monthly|completed|15|2014-06-04|Drama, Reverse Harem, Romantic Comedy|Author: Bisco Hatori|/ediciones/354942/ouran_high_school_host_club-rustica/todos|-
6313cd63e79ac634c6e80cca|637acaa6a9208d5cf27ce04b|Overlord|overlord|-|Seinen|Tankōbon|manga|bimonthly|ongoing|15|2019-03-13|Dark Fantasy, Isekai|Author: Kugane Maruyama|/ediciones/526169/overlord-rustica_con_sobrecubierta/todos|/catalogsearch/result/index/?price=109-249&q=Overlord&product_list_order=name
6313cd63e79ac634c6e80cca|637acaa6a9208d5cf27ce04c|Oyasumi Punpun|oyasumi-punpun|-|Seinen|Tankōbon|manga|bimonthly|completed|13|2020-06-30|Coming-of-Age, Drama, Slice of Life|Author: Inio Asano|/ediciones/571202/oyasumi_punpun-rustica_con_sobrecubierta/todos|/catalogsearch/result/index/?q=Oyasumi+PUNPUN&product_list_order=name
6313cd63e79ac634c6e80cca|637acaa6a9208d5cf27ce04d|Pandora Hearts|pandora-hearts|-|Shōnen|Tankōbon|manga|monthly|ongoing|24|2021-06-09|Adventure, Dark Fantasy, Mystery|Author: Jun Mochizuki|/ediciones/606376/pandora_hearts-rustica_con_sobrecubierta/todos|/catalogsearch/result/index/?product_list_order=name&q=Pandora+hearts
6313cd63e79ac634c6e80cca|637acaa6a9208d5cf27ce04e|Paradise Kiss|paradise-kiss|-|Josei|Tankōbon|manga|bimonthly|completed|5|2021-09-01|Coming-of-Age, Romance|Author: Ai Yazawa|/ediciones/602589/paradise_kiss-rustica_con_sobrecubierta/todos|/catalogsearch/result/index/?q=paradise+kiss&product_list_order=name
