PUBLISHER|NAME|KEY|COVER|DEMOGRAPHY|FORMAT|TYPE|FREQUENCY|STATUS|TOTAL_ISSUES|RELEASE_DATE|GENRES|AUTHORS|WHAKOOM_URL|KAMITE_URL|TITLE ID
6313cd63e79ac634c6e80ccb|Magic Knight Rayearth|magic-knight-rayearth|-|Shōjo|Tankōbon|manga|bimonthly|completed|3|2019-01-25|Isekai, Mecha, Sword and Sorcery, Dark Fantasy|Author: CLAMP|/ediciones/502746/magic_knight_rayearth-rustica_con_sobrecubierta/todos|/165-magic-knight-rayearth|637c38c50344f4567250602f
6313cd63e79ac634c6e80ccb|Tokyo Babylon|tokyo-babylon|-|Shōjo|Aizōban|manga|quarterly|completed|3|2016-09-23|Dark Fantasy, Occult Detective|Author: CLAMP|/ediciones/405181/tokyo_babylon_-_edicion_de_coleccion-rustica_con_sobrecubierta/todos|/46-tokyo-babylon|637c38c50344f45672506030
6313cd63e79ac634c6e80ccb|Tsubasa: Reservoir Chronicle|tsubasa-reservoir-chronicle|-|Shōnen|Tankōbon|manga|quarterly|ongoing|28|2018-03-17|Adventure, Isekai, Romance|Author: CLAMP|/ediciones/501872/tsubasa_reservoir_chronicle-rustica_con_sobrecubierta/todos|/154-tsubasa|637c38c50344f45672506031
6313cd63e79ac634c6e80ccb|Steins Gate|steins-gate|-|Shōnen|Tankōbon|manga|bimonthly|completed|3|2016-06-15|Mystery, Science Fiction, Thriller|Author: Yomi Sarachi|/ediciones/401399/steinsgate-rustica_con_sobrecubierta/todos|/45-steins-gate|637c38c50344f45672506032
6313cd63e79ac634c6e80ccb|Saint Seiya Episodio G|saint-seiya-episodio-g|-|Seinen|Tankōbon|manga|bimonthly|completed|20|2014-02-22|Fantasy, Martial Arts, Mythological|Creator: Masami Kurumada; Author: Megumu Okada|/ediciones/354928/saint_seiya_-_episodio_g-rustica_con_sobrecubierta/todos|/33-saint-seiya-episodio-g|637c38c50344f45672506033
6313cd63e79ac634c6e80ccb|Cardcaptor Sakura|cardcaptor-sakura|-|Shōjo|Kanzenban|manga|bimonthly|completed|9|2018-10-27|Magical Girl, Romance|Author: CLAMP|/ediciones/509437/cardcaptor_sakura_-_deluxe_edition-rustica_con_sobrecubierta/todos|/155-cardcaptor-sakura|637c38c50344f45672506034
6313cd63e79ac634c6e80ccb|Akashic Records|akashic-records|-|Shōnen|Tankōbon|manga|annual|ongoing|16|2019-06-24|Action, Fantasy, Harem|Writer: Tarō Hitsuji; Illustrator: Kurone Mishima|/ediciones/531642/akashic_records_of_bastard_magic_instructor-rustica_con_sobrecubierta/todos|/229-akashic-records|637c38c50344f45672506035
6313cd63e79ac634c6e80ccb|Atrail|atrail|-|Seinen|Tankōbon|manga|biannual|ongoing|6|2019-06-24|Action, Drama, Romance, School Life|Writer: Goro Taniguchi; Illustrator: Akihiko Higuchi|/ediciones/531643/atrail_vida_ordinaria_en_un_mundo_ficticio_y_elemento_de_desintegracion-rustica_con_sobrecubierta/todos|/226-atrail|637c38c50344f45672506036
6313cd63e79ac634c6e80ccb|1001 Knights|1001-knights|-|Josei|Tankōbon|manga|biannual|ongoing|10|2020-12-22|Adventure, Harem, Supernatural|Author: Yukiru Sugisaki|/ediciones/600610/1001_knights-rustica_con_sobrecubierta/todos|/228-1001-knights|637c38c50344f45672506037
6313cd63e79ac634c6e80ccb|Besos Verdaderos (Sekirara ni Kiss)|sekirara-ni-kiss|-|Shōjo|Tankōbon|manga|quarterly|ongoing|9|2022-05-05|Romance|Author: Fumie Akuta|/ediciones/625087/besos_verdaderos_sekirara_ni_kiss-rustica_con_sobrecubierta|/322-besos-verdaderos|637c38c50344f45672506038
6313cd63e79ac634c6e80ccb|Cardcaptor Sakura Clear Card|cardcaptor-sakura-clear-card|-|Shōjo|Tankōbon|manga|bimonthly|ongoing|13|2023-03-15|Magical Girl, Romance|Author: CLAMP|/ediciones/636654/cardcaptor_sakura_-_clear_card_arc-rustica_con_sobrecubierta/todos|-|64291633a3a46020fac2edac
6313cd63e79ac634c6e80ccb|Chobits|chobits|-|Seinen|Tankōbon|manga|bimonthly|ongoing|8|2023-03-17|Romantic Comedy, Science Fiction|Author: CLAMP|/ediciones/636655/chobits-rustica_con_sobrecubierta/todos|/329-chobits|64291633a3a46020fac2edad
6313cd63e79ac634c6e80ccb|Citrus+|citrus+|-|Yuri|Tankōbon|manga|quarterly|ongoing|5|2023-03-20|Romance, Yuri|Author: Saburouta|/ediciones/635650/citrus_-rustica_con_sobrecubierta/todos|-|64291633a3a46020fac2edae
6313cd63e79ac634c6e80ccb|Soy Una Araña Y Qué|so-im-a-spider-so-what-light-novel|-|Shōnen|Tankōbon|light-novel|bimonthly|ongoing|18|2019-03-13|Adventure, Isekai|Writer: Okina Baba; Illustrator: Tsukasa Kiryu|/ediciones/529431/soy_una_arana_y_que_kumo_desuga_nanika-rustica_con_sobrecubierta/todos|/303-soy-una-araña-y-qué|64291633a3a46020fac2edaf
6313cd63e79ac634c6e80ccb|Death March to the Parallel World Rhapsody|death-march-to-the-parallel-world-rhapsody|-|Shōnen|Tankōbon|light-novel|bimonthly|ongoing|27|2021-11-25|Fantasy, Harem, Isekai|Writer: Hiro Ainana; Illustrator: shri|/ediciones/614677/death_march_to_the_parallel_world_rhapsody-rustica_con_sobrecubierta/todos|/321-death-march|64291633a3a46020fac2edb0
